size,category,puzzle_idx,heuristic_on,clues,classification,cells_filled,mask_ns,heuristic_ns,perm_ns,graph_ns,prune_ns,extract_ns,total_ns,mask_mem,heuristic_mem,perm_mem,graph_mem,prune_mem,initial_vertices,initial_edges,pruned_vertices,pruned_edges,removed_vertices,permutation_counts,phase_progress
25x25,hard,3,false,0,OOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OomAt(graph_construction)
25x25,hard,4,false,0,OOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OomAt(graph_construction)
25x25,very_hard,0,true,286,Ambiguous(5),278,3900,451593,579988,76265,161442,20231,1450780,3425,3425,24564,45324,14346,275,2331,50,322,225,216;4;4;4;4;4;2;1;1;1;8;3;3;2;2;4;1;1;1;2;2;2;1;1;1,Complete
25x25,very_hard,1,true,321,Ambiguous(5),284,3429,216652,32626,26223,95750,19174,445853,3425,3425,6900,15124,10298,36,186,34,172,2,1;1;1;1;2;1;1;1;1;3;2;1;2;1;4;2;1;1;1;3;1;1;1;1;1,Complete
25x25,very_hard,2,true,281,Unsolvable,316,5439,310626,53435,21061,20297,412,481358,3425,3425,1932,3444,0,7,7,0,0,7,0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1,Complete
25x25,very_hard,0,false,0,OOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OomAt(graph_construction)
25x25,very_hard,1,false,0,OOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OomAt(graph_construction)
25x25,very_hard,2,false,281,OOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OomAt(graph_construction)
25x25,ambiguous,0,false,300,OOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OomAt(graph_construction)
25x25,ambiguous,0,true,300,OOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OomAt(unknown)
